ID,FP,BU Region,Approved,On hold,Sourcing start,Interview start,Interview end,Offered,Filled,Status
8494,P,23,2014-11-29,,2014-12-06 00:00:00,2014-12-19 00:00:00,,,,Interview start
11246,F,14,2014-12-07,,2014-12-14 00:00:00,2014-12-31 00:00:00,,,,Interview start
4979,P,99,2014-12-31,,,,,,,Approved
14737,F,10,2014-11-01,,2014-11-10 00:00:00,2014-11-28 00:00:00,2014-12-15 00:00:00,2014-12-24 00:00:00,,Offered
14125,F,19,2014-11-27,,2014-12-02 00:00:00,2014-12-15 00:00:00,,,,Interview start
12299,P,1,2014-11-14,,2014-11-21 00:00:00,2014-12-09 00:00:00,,,,Interview start
19379,P,98,2014-11-05,,2014-11-13 00:00:00,2014-11-30 00:00:00,2014-12-23 00:00:00,2014-12-29 00:00:00,,Offered
19847,F,6,2014-10-22,,2014-10-30 00:00:00,2014-11-14 00:00:00,2014-12-11 00:00:00,2014-12-20 00:00:00,2014-12-27 00:00:00,Filled
14426,P,10,2014-10-18,,2014-10-26 00:00:00,2014-11-09 00:00:00,2014-12-07 00:00:00,2014-12-13 00:00:00,2014-12-21 00:00:00,Filled
10933,P,94,2014-11-29,,2014-12-06 00:00:00,2014-12-20 00:00:00,,,,Interview start
12997,P,1,2014-11-18,,2014-11-23 00:00:00,2014-12-03 00:00:00,2014-12-29 00:00:00,,,Interview end
10503,P,95,2014-12-03,,2014-12-12 00:00:00,2014-12-24 00:00:00,,,,Interview start
6879,F,12,2014-11-02,,2014-11-07 00:00:00,2014-11-26 00:00:00,2014-12-17 00:00:00,2014-12-26 00:00:00,2014-12-31 00:00:00,Filled
9898,F,15,2014-12-01,,2014-12-08 00:00:00,2014-12-19 00:00:00,,,,Interview start
2916,F,95,2014-10-21,,2014-10-30 00:00:00,2014-11-13 00:00:00,2014-11-29 00:00:00,2014-12-05 00:00:00,2014-12-12 00:00:00,Filled
17825,P,95,2014-11-05,,2014-11-13 00:00:00,2014-11-28 00:00:00,2014-12-27 00:00:00,,,Interview end
9683,P,4,2014-11-11,,2014-11-17 00:00:00,2014-11-28 00:00:00,2014-12-27 00:00:00,,,Interview end
9060,F,20,2014-12-12,,2014-12-20 00:00:00,,,,,Sourcing start
19023,F,16,2014-11-17,,2014-11-24 00:00:00,2014-12-04 00:00:00,,,,Interview start
