p_id,name,price,colour,brand,ratingCount,avg_rating
17048614,Khushal K Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta,5099,Black,Khushal K,4522,4.418398939
16524740,InWeave Women Orange Solid Kurta with Palazzos & Floral Print Dupatta,5899,Orange,InWeave,1081,4.11933395
16331376,Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta with Trousers & With Dupatta,4899,Navy Blue,Anubhutee,1752,4.16152968
14709966,Nayo Women Red Floral Printed Kurta With Trouser & Dupatta,3699,Red,Nayo,4113,4.088986142
11056154,AHIKA Women Black & Green Printed Straight Kurta,1350,Black,AHIKA,21274,3.978377362
14046594,Libas Women Navy Blue Pure Cotton Floral Print Kurta with Palazzos & Dupatta,3599,Navy Blue,Libas,8695,4.435652674
14951330,Ahalyaa Women Beige Floral Printed Regular Gotta Patti Kurta with Palazzos & With Dupatta,6000,Beige,Ahalyaa,1741,3.545089029
13791594,Anouk Women Yellow & White Printed Kurta with Palazzos,1999,Yellow,Anouk,7012,4.245864233
17048604,Khushal K Women Green & Pink Printed Pure Cotton Kurta with Palazzos & Dupatta,5299,Green,Khushal K,1590,4.266037736
10356859,Libas Floral Bliss Side Pocket Cotton Kurta Set,2499,Pink,Libas,12568,3.963239975
12413214,Varanga Women Mustard Yellow Floral Yoke Embroidered Straight Kurta,1999,Mustard,Varanga,2426,4.254328112
16600750,AHIKA Women Teal Ethnic Motifs Yoke Design Kurta with Trousers & With Dupatta,3748,Teal,AHIKA,1268,4.095425868
9867983,Vishudh Women Navy Blue Floral Printed Regular Pure Cotton Kurta with Palazzos,2149,Navy Blue,Vishudh,2676,4.032884903
14399798,Anouk Women Peach-Coloured Yoke Design Mirror-Work Kurta with Trousers & With Dupatta,3799,Peach,Anouk,904,4.207964602
15241816,Varanga Women Yellow & Peach-Coloured Floral Screen Printed Gotta Patti Straight Kurta,2799,Yellow,Varanga,1811,4.057426836
